Split,Phase,Final_Test_Acc,Final_Test_Prec,Final_Test_Rec,Final_Test_F1,Final_Test_Loss,Optimal_Threshold
60/40,Phase 1: Standard BCE,0.9330555555555555,0.9240623283391268,0.9301892551892552,0.9269726414229594,0.15673337085989483,0.2583382
60/40,Phase 2: Weighted BCE,0.9388888888888889,0.9323200458847147,0.9335775335775336,0.9329428212242067,0.2644785594914043,0.6107238
